skills_text,domain_label,difficulty_level
"communication, AWS, observability, scrum, SLO/SLA, Prometheus, incident management, Jaeger, Kubernetes, Terraform",Site Reliability Engineer,Hard
"cloud architecture, S3, networking, CDN, Docker, IAM, SLA design",Cloud Engineer,Medium
"neural networks, scikit-learn, pandas, huggingface, agile, OpenCV",AI/ML Engineer,Easy
"Git, Postman, JMeter, JUnit, test automation, Pact, performance testing, BDD, test planning, Cucumber, Selenium, Jira, Python",QA Automation Engineer,Hard
"service level objectives, AWS, Linux, Prometheus, Docker, agile, chaos engineering, Grafana, reliability targets, Kubernetes, SLO/SLA, Terraform, Python",Site Reliability Engineer,Hard
"Git, documentation, Node.js, REST API, JavaScript, CSS, GraphQL",Full Stack Developer,Easy
"documentation, mobile UI, Git, scrum, JavaScript, REST API, Flutter, Swift",Mobile App Developer,Easy
"NFT, Solidity, Web3.js, consensus algorithms, smart contracts, tokenomics, DAO governance, Ethereum, IPFS, Cosmos SDK, DeFi, presentation",Blockchain Developer,Hard
"A/B testing, R, SQL, data wrangling, hypothesis testing, numpy, Jupyter, scikit-learn, feature selection",Data Scientist,Medium
"vulnerability assessment, network security, threat intelligence, Linux, SOC, incident response, threat detection, SIEM, firewalls",Cybersecurity Analyst,Medium
"leadership, runbooks, teamwork, on-call, Linux, SLO/SLA, incident management, observability, Docker, Git",Site Reliability Engineer,Easy
"C++, OOP, documentation, Java, unit testing, algorithms, performance profiling, system design, Go, Git, scrum, problem solving",Software Engineer,Medium
"container orchestration, Istio, Helm, Linux, Docker, K8s, Kubernetes, scrum, teamwork, Ansible, monitoring, Terraform, AWS",DevOps Engineer,Hard
"CI/CD, monitoring, Python, automation, Ansible, Helm, Bash scripting, Prometheus, Linux, Git, Terraform, continuous integration, continuous deployment, teamwork, pipeline",DevOps Engineer,Medium
"problem solving, data structures, C++, OOP, Python, SQL, Git",Software Engineer,Easy
"neural networks, python, CNN, convolutional neural network, numpy, keras, computer vision, scikit-learn, image classification, distributed training, transformers, pandas",AI/ML Engineer,Medium
"scrum, keras, diffusion models, transformers, python, leadership, deep learning, scikit-learn, pandas, computer vision, machine learning, pytorch",AI/ML Engineer,Medium
"object oriented, Linux, OOP, Git, concurrency, unit testing, design patterns, object-oriented programming, Go",Software Engineer,Medium
"Power BI, Python, data visualization, Tableau, communication, Google Sheets, data cleaning, SQL, Excel, reporting, business intelligence, Tableau Server, Tableau Desktop",Data Analyst,Easy
"MEV, web3, cryptography, DeFi, Web3, IPFS, Web3.js, ZK proofs, Solidity, Hardhat, smart contract language, consensus algorithms",Blockchain Developer,Medium
"Linux, Python, leadership, problem solving, code review, C++, data structures, teamwork",Software Engineer,Easy
"Git, Grafana, scrum, Jenkins, Helm, Linux, teamwork, Terraform, automation, Docker, AWS, chaos engineering",DevOps Engineer,Hard
"serverless, load balancing, VPC, CDN, Lambda, Linux, teamwork, Azure, networking",Cloud Engineer,Medium
"Docker, GCP, cloud architecture, scrum, IAM, Azure, Terraform, Google Cloud, Google Cloud Platform, VPC, multi-cloud, SLA design, Jira",Cloud Engineer,Medium
"transformers, TF, python, OpenCV, TensorFlow, tensorflow, scikit-learn, LSTM, machine learning",AI/ML Engineer,Easy
"Terraform, Bash scripting, Kubernetes, monitoring, automation, Git, Grafana, Linux",DevOps Engineer,Medium
"data modeling, Python, data visualization, Excel, Tableau Desktop, Tableau Server, SQL, ETL, Power BI, business intelligence, window functions, Microsoft Power BI, PowerBI, reporting, Tableau",Data Analyst,Medium
"user flows, information architecture, Figma design, Confluence, Adobe XD, user research, UI design tool, documentation, Figma",UI/UX Designer,Easy
"wireframes, service design, low-fidelity design, Sketch, HTML, presentation, interaction design, Figma design, wireframing, Adobe XD, UI design tool, Figma, eye tracking, information architecture, user flows",UI/UX Designer,Medium
"agile, interaction design, wireframing, HTML, information architecture, CSS, prototyping, user research, accessibility, design systems",UI/UX Designer,Easy
"Python, Postman, leadership, behavior-driven development, test automation, SQL, Confluence, BDD",QA Automation Engineer,Easy
"Rust, Ethereum, DeFi, Go, Confluence, cryptography, Solidity, Web3.js, NFT, JavaScript",Blockchain Developer,Medium
"reporting, data visualization, Excel, SQL, Snowflake, PowerBI, Microsoft Power BI, Google Sheets, Power BI, Tableau",Data Analyst,Medium
"PostgreSQL, Docker, message queues, REST API, server-side development, SQL, Git, Django, MongoDB, FastAPI",Backend Developer,Medium
"FastAPI, Django, PostgreSQL, server-side development, Redis, Python API, REST API, MongoDB, fast api",Backend Developer,Easy
"classification, pandas, regression, clustering, numpy, seaborn, Bayesian statistics, matplotlib",Data Scientist,Medium
"Azure, AWS, teamwork, CDN, Terraform, networking, agile, Linux",Cloud Engineer,Medium
"CDN, S3, Docker, presentation, cloud architecture, time management, Google Cloud Platform, AWS, Linux, EC2, GCP, Google Cloud",Cloud Engineer,Medium
"presentation, load balancing, AWS, IAM, Docker, Lambda, Azure, teamwork, Kubernetes",Cloud Engineer,Medium
"Postman, SQL, Pytest, test automation, Python, Selenium, Cucumber, API testing, performance testing",QA Automation Engineer,Medium
"matplotlib, feature selection, statistics, numpy, regression, presentation",Data Scientist,Easy
"chaos engineering, documentation, Bash scripting, Docker, Grafana, ArgoCD, monitoring, Git, automation, Confluence, Prometheus",DevOps Engineer,Medium
"SIEM, ethical hacking, firewalls, threat detection, pen testing, penetration testing, compliance, Linux, network security, presentation",Cybersecurity Analyst,Easy
"presentation, debugging, DSP, safety-critical systems, ARM, firmware, RTOS, FreeRTOS, microcontrollers",Embedded Systems Engineer,Medium
"IPFS, web3, JavaScript, NFT, Ethereum, Rust, Web3, Truffle, Web3.js",Blockchain Developer,Medium
"machine learning, huggingface, torch, python, deep learning, numpy, scikit-learn, RNN, PyTorch, pytorch, model quantization, triton, computer vision",AI/ML Engineer,Medium
"pen testing, communication, Wireshark, SIEM, penetration testing, network security, threat detection, Python, firewalls, ethical hacking",Cybersecurity Analyst,Easy
"JUnit, SQL, test planning, Postman, Pytest, Python, Selenium",QA Automation Engineer,Easy
"server-side development, SQL, Redis, gRPC, Python, authentication, MongoDB",Backend Developer,Medium
"Confluence, cloud architecture, EC2, IAM, S3, Kubernetes",Cloud Engineer,Medium
"BDD, API testing, Selenium, Cypress, contract testing, Python, Git, test planning, behavior-driven development, test automation",QA Automation Engineer,Medium
"Selenium, BDD, test planning, JUnit, test automation, Playwright, Git",QA Automation Engineer,Medium
"AWS, on-call, observability, documentation, Python, Linux, scrum, Kubernetes",Site Reliability Engineer,Medium
"Redux, REST API, NodeJS, HTML, Git, CSS, Node.js, Node, Docker, JavaScript, PostgreSQL",Full Stack Developer,Easy
"React Native, push notifications, mobile UI, Redux, agile, Git, iOS, REST API, Android",Mobile App Developer,Medium
"python, model evaluation, LSTM, neural networks, scikit-learn, OpenCV, RNN, documentation",AI/ML Engineer,Easy
"Docker, on-call, Prometheus, Linux, Python, observability, incident management, runbooks, ELK stack",Site Reliability Engineer,Easy
"compiler design, Python, Git, problem solving, agile, design patterns, data structures, unit testing, SQL, algorithms",Software Engineer,Medium
"compliance, Linux, network security, penetration testing, cryptography, SOC, Wireshark, time management",Cybersecurity Analyst,Easy
"mobile UI, ARKit, communication, Swift, React Native, Confluence, app store deployment, Dart, Android, offline-first, JavaScript, REST API",Mobile App Developer,Hard
"AWS, Azure, CDN, cloud architecture, EC2, Terraform, S3",Cloud Engineer,Medium
"computer vision, machine learning, torch, CNN, ONNX, python, PyTorch, LSTM, NLP, text mining, image classification, convolutional neural network, numpy, pytorch, scikit-learn, triton, natural language processing, deep learning",AI/ML Engineer,Medium
"DAO governance, Go, smart contract language, IPFS, consensus algorithms, cryptography, Solidity, DeFi, Rust, Ethereum",Blockchain Developer,Hard
"Selenium WebDriver, Pytest, contract testing, CI/CD, SQL, Selenium, Cucumber, Git, test planning, Pact, API testing, test automation, time management, Python",QA Automation Engineer,Hard
"CSS, usability testing, Framer, component libraries, Figma, wireframing, information architecture, communication",UI/UX Designer,Medium
"C++, unit testing, system design, compiler design, data structures, Git, SQL, OOP, Python, debugging, problem solving",Software Engineer,Medium
"Python API, FastAPI, message queues, presentation, Python, Node.js, Flask, fast api, authentication, SQL, Git, JWT",Backend Developer,Medium
"Git, REST API, Redux, React.js, ReactJS, React, performance optimization, Node.js, TypeScript, HTML, JavaScript, Docker",Full Stack Developer,Medium
"ETL, communication, Snowflake, reporting, KPI tracking, pivot tables, Google Sheets, Excel, SQL, business intelligence, Metabase, Tableau",Data Analyst,Medium
"Python, test automation, visual regression, BDD, API testing, behavior-driven development, SQL",QA Automation Engineer,Medium
"Grafana, automation, Jenkins, Linux, Prometheus, FinOps",DevOps Engineer,Medium
"Web3, Ethereum, documentation, IPFS, Web3.js, JavaScript, Solidity, NFT, cryptography, Truffle, smart contract language, web3",Blockchain Developer,Easy
"RN, TypeScript, cross-platform mobile, Git, Swift, REST API, React Native, Flutter",Mobile App Developer,Easy
"Kubernetes, Next.js, Node, HTML, Redux, TypeScript, JWT, Node.js, teamwork, WebSockets, Git, NodeJS, CSS",Full Stack Developer,Hard
"C++, problem solving, OOP, Java, Python, data structures",Software Engineer,Easy
"REST API, MongoDB, CSS, scrum, Git, React, JavaScript, AWS, microservices, Express, Node.js",Full Stack Developer,Medium
"Python, OOP, scrum, object oriented, SQL, Rust, C++, object-oriented programming, Git",Software Engineer,Medium
"error budgets, on-call, AWS, Jira, Go, Terraform, incident management, ELK stack, Python, runbooks, OpenTelemetry",Site Reliability Engineer,Hard
"data visualization, dbt, Tableau, Tableau Server, KPI tracking, reporting, Google Sheets, Excel, pivot tables, SQL, data cleaning, Tableau Desktop, Power BI",Data Analyst,Medium
"Kotlin, push notifications, Dart, offline-first, Redux, JavaScript, mobile UI, Flutter, Google Flutter, TypeScript, Swift, Flutter/Dart, React Native",Mobile App Developer,Medium
"Firebase, React Native, Redux, JavaScript, REST API, mobile UI, iOS",Mobile App Developer,Easy
"Prometheus, Terraform, service level objectives, Linux, Grafana, reliability targets, Go, Python, observability, SLO/SLA",Site Reliability Engineer,Medium
"OOP, system design, data structures, agile, Python, Git, design patterns",Software Engineer,Easy
